video_id,video_url,segment_number,start_time,end_time,duration,sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,1,0.9,38.0,37.1,negative,-0.216,0.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,2,35.4,70.6,35.1,neutral,0.036,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,3,68.5,101.2,32.8,positive,0.231,0.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,4,100.4,137.7,37.3,neutral,-0.087,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,5,135.0,170.9,35.8,positive,0.179,0.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,6,168.2,204.2,35.9,positive,0.389,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,7,201.5,238.6,37.1,neutral,0.034,0.413,0.0,8.85,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,8,235.6,270.5,34.9,positive,0.3,0.58,0.0,16.529,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,9,268.3,304.3,36.0,positive,0.533,0.4,0.0,0.0,0.0,0.0,0.0,0.0,19.417,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,10,302.0,337.4,35.4,positive,0.174,0.648,0.0,11.628,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,11,335.9,370.1,34.2,positive,0.229,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,12,368.6,403.7,35.1,negative,-0.111,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,13,400.7,436.6,35.8,neutral,0.012,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,14,435.0,468.2,33.2,neutral,-0.016,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,15,466.7,500.9,34.2,neutral,0.013,0.364,0.0,11.905,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,16,498.6,533.8,35.3,positive,0.122,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,17,532.2,566.5,34.3,neutral,-0.039,0.513,0.0,0.0,0.0,0.0,0.0,0.0,18.692,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,18,565.0,599.7,34.6,neutral,-0.039,0.365,0.0,0.0,0.0,0.0,0.0,0.0,9.434,0.0
Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,19,597.3,635.1,37.8,neutral,0.043,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
